Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1462.407246,1477.212021,1439.375269,1400.437486,1405.365079,1362.172144,1351.789905,1364.068436,1379.99156,1375.865226,1337.599463,1299.027023,1233.651156,1187.076743,1178.995947,1198.504854,1232.311748,1241.70573,1231.641556,1231.5324,1238.551862,1249.558128,1266.276868,1269.714821,1306.957643,1354.005728,1406.789032,1463.690524,1490.087623,1464.157418,1498.427786,1516.765962,1505.094307,1527.750571,1546.133379,1549.03794,1538.589175,1536.362686,1533.514183,1525.165516,1442.74831
Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,,9.078367192,9.312151625,9.554904411,9.806505371,10.06701405,10.33651646,10.61556593,10.90518471,11.2066694,11.52101777,11.84873395,12.18984866,12.54411951,12.91116912,13.29073027,13.68292427,14.08807338,14.50594879,14.93713071,15.38141119,15.83833874,16.30800627,16.7916423,17.29128981,17.80769301,18.34150225,18.89194823,19.4562832,20.03148969,20.61501871,21.20689205,21.80747409,22.57044256,23.19143985,23.82002528,24.4569373,25.10332411,25.7613486,26.43448487,27.12502645,27.83423884,28.56338063,29.31441591,29.82732207,30.62241247,31.44486093,32.29493359,33.17339729,34.0805521,35.015247,35.97997446,36.97425033,37.99527886,39.04038455,40.10706666,41.19511368,42.30370887,43.43136716,44.5765074,45.73791597
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1087.6348,1085.107082,1102.493743,1157.51562,1193.684274,1214.978972,1167.030662,1032.153187,1023.694398,1155.234389,1330.410062,1439.306151,1448.897823,1472.99254,1583.408344,1509.617385,1596.453405,1627.637572,1549.255354,1586.298663,1574.166468,1425.33775,1340.223835,1218.687919,1192.312967,1224.481843,1208.297863,1192.809189,1217.073563,1211.560162,1256.899657,1237.583489,1237.710508,1191.469544,1156.92359,1148.37411,1169.974869,1187.379009,1196.561965,1181.529548,1193.345162,1222.521675,1308.229506,1344.052356,1413.268101,1455.930481,1492.818253,1532.64464,1584.545455,1638.15521,1704.608056,1738.993397,1779.254136,1837.273584,1894.169982,1894.310195,1846.316666,1839.103754,1843.545758,1852.633574,1788.644061
Africa Western and Central,AFW,Population density (people per sq. km of land area),EN.POP.DNST,,10.87783682,11.10993989,11.35139898,11.6014527,11.8597166,12.12632962,12.40202928,12.68779097,12.98487837,13.2944211,13.61667149,13.9520683,14.30208477,14.66912409,15.05382001,15.45617636,15.87654298,16.31380191,16.76625487,17.23259575,17.71252319,18.20625352,18.71363465,19.23458795,19.76905839,20.31727634,20.87919085,21.45421169,22.04152467,22.6408187,23.25197683,23.87592513,24.51472466,25.17108928,25.84714939,26.54433106,27.26285074,28.00226293,28.7615162,29.54024352,30.3383339,31.15734409,32.00050521,32.87202408,33.77493019,34.71071306,35.67869835,36.6770284,37.70272293,38.75363827,39.829118,40.92991616,42.05694766,43.21163891,44.39491686,45.60704538,46.84725143,48.11407983,49.40553474,50.72016742
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,3929.588647,4408.902205,4617.052177,4446.357048,4788.079577,5060.365983,5066.445974,4493.589316,4081.265218,4016.10207,3821.899561,3878.597455,3757.582664,3869.034296,3841.10838,4163.234105,4147.313472,4282.351671,4300.816864,4331.364634,4325.908549,4425.8931,4515.734288,4647.247223,4631.75345,4833.370327,4811.065435,4737.793771,4854.865232,5175.993347,5333.226661,5525.384585,5638.308874,5821.01941,5719.30104,5853.000983,5937.504498,6097.822797,6142.058917,6165.953239,6220.716636,6292.438934,6229.11448,6258.315712,6266.949961,5824.178548
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,6.905729507,7.095999628,7.292820472,7.49684766,7.708532243,7.928860969,8.157828368,8.393803595,8.63445965,8.878571684,9.124918423,9.375269958,9.635020285,9.911395087,10.20944716,10.53114825,10.87441856,11.23524156,11.60758732,11.98684819,12.37164791,12.76261592,13.15951513,13.56262135,13.97197795,14.38663931,14.8056024,15.2287861,15.65631375,16.23220802,16.67533731,16.98330741,17.44164589,17.89409414,18.452379,18.88204494,19.30643231,19.72588995,20.15004418,20.58384352,21.0276802,21.48209057,21.95250829,22.44455438,22.96237245,23.50810355,24.07948929,24.67037096,25.27523126,25.87760942,27.75960974,28.39257409,29.02430652,29.65171281,30.27304371,30.88595172,31.48984105,32.09444828,32.70738429,33.33501029
Caribbean small states,CSS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,5028.33521,5180.646829,5416.47166,5648.520273,5829.701999,5883.674918,6233.086163,6123.821156,5859.473562,5722.725056,5729.603794,5886.146822,6159.687654,6408.052164,6491.789291,6475.000758,6461.419746,6228.249146,6219.288922,6163.242936,6194.717362,6266.864277,6365.260545,6588.529324,6602.778317,6633.88964,6717.1292,6850.686034,6978.474801,7120.848517,7311.755618,7552.581436,7588.202942,7917.078543,8155.833845,8263.50222,8500.783503,8915.006127,9203.390006,9472.498787,10049.67571,10313.85762,10376.70206,9940.742864,10006.73142,10049.92335,10111.90649,10102.60913,10102.33577,10141.41539,9960.517993,9907.312552,10032.48684,10036.41712,9166.657179
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST,,10.55842885,10.75499753,10.94920949,11.13683053,11.31517292,11.48308547,11.64168972,11.79320652,11.94130188,12.08854743,12.23588933,12.38290514,12.52942688,12.67489377,12.81467378,12.9563565,13.09648096,13.23791673,13.38447918,13.54128937,13.70512783,13.87650241,14.04745708,14.20651599,14.34656292,14.46324565,14.56050389,14.64777819,14.73886131,14.84318143,14.96439175,15.09888601,15.24101272,15.38182537,15.51489194,15.63857478,15.75534395,15.86723725,15.97742621,16.08864024,16.20130172,16.31460047,16.42825985,16.54189206,16.65470421,16.76700506,16.8788292,16.99141163,17.1062023,17.2241398,17.34560207,17.46977893,17.59494875,17.71876744,17.83919229,17.95574904,18.06831172,18.17692726,18.28180561,18.38283562
Central Europe and the Baltics,CEB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6308.157724,5706.216043,5613.062464,5703.524619,5938.797916,6287.04061,6586.995139,6752.241734,6944.984514,7089.160736,7411.231461,7694.956582,8024.693412,8378.732972,8892.085521,9363.878828,10006.14591,10688.59958,11148.29217,10778.96207,11001.68347,11365.75281,11478.77254,11645.85457,12018.51636,12521.79141,12939.28596,13604.1161,14243.05424,14843.30777,14297.50571
Central Europe and the Baltics,CEB,Population density (people per sq. km of land area),EN.POP.DNST,,83.39412795,84.09797227,84.8481486,85.64000937,86.29649374,86.93504624,87.74684297,88.50785398,89.16124441,89.63940444,90.09297089,90.74573566,91.42889695,92.17690675,93.0093886,93.83890348,94.59835104,95.24176972,95.80601628,96.34284753,96.87550708,97.41985249,97.93388562,98.42242179,98.8747642,99.31414707,99.74121155,100.0950791,100.2887695,100.2358091,99.97815892,99.65414648,99.5921211,99.56921598,99.42861616,99.2041978,99.02390847,98.8585841,98.6971573,98.14851177,97.43554468,96.94828899,96.64323977,96.36418968,96.1146167,95.87301678,95.52565844,95.18479025,94.91758058,94.57074966,94.34447576,94.14450592,93.85237536,93.54487518,93.33079348,93.09342037,92.86574673,92.6887511,92.56227704,92.43077165
